round,accuracy,precision,recall,f1,loss
1,0.8281,0.846643109540636,0.8491936912989545,0.8479164823498186,0.3887113383406351
2,0.8249,0.8552391383716685,0.8302321460216197,0.8425501303839583,0.39270295808864064
3,0.8284,0.8473376967981603,0.8488392698919015,0.8480878186968839,0.3885845362990808
4,0.8256,0.854003994915562,0.8334219386850966,0.8435874439461883,0.3909774552507519
5,0.8268,0.8508882110174053,0.8403331561226298,0.8455777460770328,0.3901499160127534
6,0.8251,0.8522069464544139,0.8348396243133085,0.8434338913257542,0.39145664820191495
7,0.8284,0.8514408448183283,0.8429913166755272,0.8471950133570793,0.39009917521409915
8,0.8295,0.8473888496824277,0.8511430090377459,0.849261780567589,0.3863127589789349
9,0.828,0.8477220351001595,0.8474215842636895,0.8475717830556541,0.38794275796480676
10,0.83,0.8437663469921535,0.8575225943646996,0.8505888556864124,0.3861926750487027
11,0.8282,0.8536673274463867,0.8394471026049973,0.8464974982130093,0.38987388535101297
12,0.8283,0.8511627906976744,0.8431685273790537,0.847146799608297,0.388980062934518
13,0.8276,0.8498482413854669,0.8435229487861067,0.8466737815723941,0.3883125823339832
14,0.8296,0.8502578694646986,0.847244373560163,0.8487484466536481,0.3881108902369367
15,0.8292,0.8477991868481527,0.8499025341130604,0.8488495575221239,0.3869108921983664
